timestamp;buyer;seller;symbol;currency;price;quantity
300;;;INTARIAN_PEPPER_ROOT;XIRECS;9335.0;6
1300;;;ASH_COATED_OSMIUM;XIRECS;9992.0;5
2000;;;ASH_COATED_OSMIUM;XIRECS;9992.0;4
3400;;;INTARIAN_PEPPER_ROOT;XIRECS;9316.0;7
3500;;;INTARIAN_PEPPER_ROOT;XIRECS;9330.0;6
5500;;;ASH_COATED_OSMIUM;XIRECS;9995.0;4
7600;;;INTARIAN_PEPPER_ROOT;XIRECS;9288.0;5
10000;;;ASH_COATED_OSMIUM;XIRECS;9992.0;8
10400;;;INTARIAN_PEPPER_ROOT;XIRECS;9288.0;6
10700;;;ASH_COATED_OSMIUM;XIRECS;10010.0;2
14100;;;ASH_COATED_OSMIUM;XIRECS;10008.0;3
15100;;;INTARIAN_PEPPER_ROOT;XIRECS;9242.0;8
15800;;;INTARIAN_PEPPER_ROOT;XIRECS;9255.0;5
17200;;;INTARIAN_PEPPER_ROOT;XIRECS;9232.0;5
17300;;;ASH_COATED_OSMIUM;XIRECS;10009.0;4
18500;;;INTARIAN_PEPPER_ROOT;XIRECS;9239.0;8
18600;;;ASH_COATED_OSMIUM;XIRECS;10009.0;4
19100;;;INTARIAN_PEPPER_ROOT;XIRECS;9220.0;7
19300;;;ASH_COATED_OSMIUM;XIRECS;9993.0;2
19700;;;ASH_COATED_OSMIUM;XIRECS;10011.0;5
21600;;;INTARIAN_PEPPER_ROOT;XIRECS;9219.0;5
21600;;;ASH_COATED_OSMIUM;XIRECS;9994.0;5
21800;;;INTARIAN_PEPPER_ROOT;XIRECS;9219.0;5
22700;;;INTARIAN_PEPPER_ROOT;XIRECS;9207.0;5
23800;;;ASH_COATED_OSMIUM;XIRECS;10008.0;8
25100;;;INTARIAN_PEPPER_ROOT;XIRECS;9199.0;4
27600;;;INTARIAN_PEPPER_ROOT;XIRECS;9167.0;4
28800;;;INTARIAN_PEPPER_ROOT;XIRECS;9176.0;6
29600;;;ASH_COATED_OSMIUM;XIRECS;9992.0;6
30400;;;INTARIAN_PEPPER_ROOT;XIRECS;9168.0;7
31300;;;INTARIAN_PEPPER_ROOT;XIRECS;9144.0;5
34500;;;ASH_COATED_OSMIUM;XIRECS;10010.0;9
34700;;;INTARIAN_PEPPER_ROOT;XIRECS;9126.0;5
37900;;;ASH_COATED_OSMIUM;XIRECS;10008.0;6
39600;;;ASH_COATED_OSMIUM;XIRECS;9990.0;2
40900;;;ASH_COATED_OSMIUM;XIRECS;10008.0;10
44200;;;ASH_COATED_OSMIUM;XIRECS;9993.0;8
44500;;;INTARIAN_PEPPER_ROOT;XIRECS;9066.0;6
45300;;;ASH_COATED_OSMIUM;XIRECS;9993.0;5
47300;;;ASH_COATED_OSMIUM;XIRECS;10010.0;5
47800;;;ASH_COATED_OSMIUM;XIRECS;9993.0;3
49600;;;ASH_COATED_OSMIUM;XIRECS;9991.0;3
49900;;;INTARIAN_PEPPER_ROOT;XIRECS;9048.0;3
55800;;;INTARIAN_PEPPER_ROOT;XIRECS;9012.0;8
56400;;;ASH_COATED_OSMIUM;XIRECS;10007.0;5
58000;;;INTARIAN_PEPPER_ROOT;XIRECS;8985.0;3
58800;;;ASH_COATED_OSMIUM;XIRECS;10010.0;5
60000;;;ASH_COATED_OSMIUM;XIRECS;10008.0;5
60700;;;ASH_COATED_OSMIUM;XIRECS;10009.0;3
61000;;;INTARIAN_PEPPER_ROOT;XIRECS;8966.0;5
61100;;;ASH_COATED_OSMIUM;XIRECS;10009.0;6
62000;;;ASH_COATED_OSMIUM;XIRECS;10008.0;9
62100;;;ASH_COATED_OSMIUM;XIRECS;9992.0;6
65800;;;ASH_COATED_OSMIUM;XIRECS;9995.0;6
68300;;;INTARIAN_PEPPER_ROOT;XIRECS;8922.0;4
69700;;;ASH_COATED_OSMIUM;XIRECS;10009.0;6
71500;;;ASH_COATED_OSMIUM;XIRECS;9993.0;4
72700;;;INTARIAN_PEPPER_ROOT;XIRECS;8909.0;5
72900;;;ASH_COATED_OSMIUM;XIRECS;9992.0;5
75200;;;INTARIAN_PEPPER_ROOT;XIRECS;8895.0;4
76800;;;INTARIAN_PEPPER_ROOT;XIRECS;8889.0;3
77700;;;INTARIAN_PEPPER_ROOT;XIRECS;8880.0;3
78100;;;ASH_COATED_OSMIUM;XIRECS;9990.0;5
80200;;;INTARIAN_PEPPER_ROOT;XIRECS;8864.0;4
80800;;;INTARIAN_PEPPER_ROOT;XIRECS;8846.0;6
82400;;;INTARIAN_PEPPER_ROOT;XIRECS;8835.0;4
85000;;;ASH_COATED_OSMIUM;XIRECS;9993.0;5
86300;;;INTARIAN_PEPPER_ROOT;XIRECS;8827.0;3
86300;;;ASH_COATED_OSMIUM;XIRECS;9996.0;6
87300;;;ASH_COATED_OSMIUM;XIRECS;9992.0;6
88200;;;INTARIAN_PEPPER_ROOT;XIRECS;8801.0;7
89600;;;ASH_COATED_OSMIUM;XIRECS;10011.0;5
90600;;;INTARIAN_PEPPER_ROOT;XIRECS;8786.0;4
91700;;;INTARIAN_PEPPER_ROOT;XIRECS;8795.0;7
92100;;;INTARIAN_PEPPER_ROOT;XIRECS;8778.0;5
92800;;;INTARIAN_PEPPER_ROOT;XIRECS;8788.0;7
93000;;;ASH_COATED_OSMIUM;XIRECS;10005.0;5
94300;;;INTARIAN_PEPPER_ROOT;XIRECS;8764.0;7
95800;;;ASH_COATED_OSMIUM;XIRECS;9992.0;2
96400;;;INTARIAN_PEPPER_ROOT;XIRECS;8752.0;3
98100;;;INTARIAN_PEPPER_ROOT;XIRECS;8741.0;3
98300;;;ASH_COATED_OSMIUM;XIRECS;10010.0;5
