timestamp;buyer;seller;symbol;currency;price;quantity
200;;;INTARIAN_PEPPER_ROOT;XIRECS;11776.0;7
3600;;;ASH_COATED_OSMIUM;XIRECS;9993.0;4
4300;;;ASH_COATED_OSMIUM;XIRECS;10000.0;4
5300;;;INTARIAN_PEPPER_ROOT;XIRECS;11787.0;6
5800;;;INTARIAN_PEPPER_ROOT;XIRECS;11772.0;4
5900;;;ASH_COATED_OSMIUM;XIRECS;10010.0;4
7100;;;ASH_COATED_OSMIUM;XIRECS;9994.0;10
7200;;;ASH_COATED_OSMIUM;XIRECS;9992.0;8
9900;;;ASH_COATED_OSMIUM;XIRECS;10009.0;8
10100;;;ASH_COATED_OSMIUM;XIRECS;9992.0;5
10500;;;INTARIAN_PEPPER_ROOT;XIRECS;11784.0;5
10500;;;ASH_COATED_OSMIUM;XIRECS;9998.0;5
12100;;;ASH_COATED_OSMIUM;XIRECS;10003.0;10
12600;;;ASH_COATED_OSMIUM;XIRECS;10001.0;6
12900;;;INTARIAN_PEPPER_ROOT;XIRECS;11786.0;5
13800;;;INTARIAN_PEPPER_ROOT;XIRECS;11785.0;7
14300;;;INTARIAN_PEPPER_ROOT;XIRECS;11768.0;4
14500;;;ASH_COATED_OSMIUM;XIRECS;10009.0;3
14900;;;INTARIAN_PEPPER_ROOT;XIRECS;11784.0;5
15800;;;INTARIAN_PEPPER_ROOT;XIRECS;11769.0;5
16200;;;ASH_COATED_OSMIUM;XIRECS;10001.0;7
17100;;;ASH_COATED_OSMIUM;XIRECS;9991.0;4
17500;;;INTARIAN_PEPPER_ROOT;XIRECS;11783.0;3
20200;;;INTARIAN_PEPPER_ROOT;XIRECS;11775.0;7
20200;;;INTARIAN_PEPPER_ROOT;XIRECS;11767.0;7
20300;;;INTARIAN_PEPPER_ROOT;XIRECS;11768.0;4
21100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;8
23200;;;ASH_COATED_OSMIUM;XIRECS;10003.0;7
