timestamp;buyer;seller;symbol;currency;price;quantity
700;;;INTARIAN_PEPPER_ROOT;XIRECS;12995.0;6
1100;;;INTARIAN_PEPPER_ROOT;XIRECS;13010.0;3
2300;;;ASH_COATED_OSMIUM;XIRECS;10001.0;4
2400;;;INTARIAN_PEPPER_ROOT;XIRECS;13012.0;4
2800;;;INTARIAN_PEPPER_ROOT;XIRECS;13000.0;6
3500;;;INTARIAN_PEPPER_ROOT;XIRECS;13000.0;5
6000;;;ASH_COATED_OSMIUM;XIRECS;10004.0;8
6700;;;INTARIAN_PEPPER_ROOT;XIRECS;13017.0;7
7000;;;ASH_COATED_OSMIUM;XIRECS;9993.0;3
8300;;;INTARIAN_PEPPER_ROOT;XIRECS;13004.0;4
9300;;;ASH_COATED_OSMIUM;XIRECS;10009.0;5
9700;;;INTARIAN_PEPPER_ROOT;XIRECS;13019.0;3
10200;;;ASH_COATED_OSMIUM;XIRECS;10008.0;7
10900;;;INTARIAN_PEPPER_ROOT;XIRECS;13009.0;6
11100;;;ASH_COATED_OSMIUM;XIRECS;9993.0;2
12500;;;INTARIAN_PEPPER_ROOT;XIRECS;13010.0;7
12600;;;ASH_COATED_OSMIUM;XIRECS;9991.0;6
13600;;;INTARIAN_PEPPER_ROOT;XIRECS;13026.0;4
15700;;;INTARIAN_PEPPER_ROOT;XIRECS;13026.0;7
18900;;;ASH_COATED_OSMIUM;XIRECS;10005.0;5
19800;;;INTARIAN_PEPPER_ROOT;XIRECS;13018.0;4
20700;;;INTARIAN_PEPPER_ROOT;XIRECS;13032.0;7
21600;;;ASH_COATED_OSMIUM;XIRECS;10000.0;7
22100;;;ASH_COATED_OSMIUM;XIRECS;10009.0;9
22600;;;ASH_COATED_OSMIUM;XIRECS;10008.0;4
24100;;;ASH_COATED_OSMIUM;XIRECS;10002.0;5
25000;;;INTARIAN_PEPPER_ROOT;XIRECS;13024.0;7
25500;;;ASH_COATED_OSMIUM;XIRECS;9992.0;6
27500;;;INTARIAN_PEPPER_ROOT;XIRECS;13041.0;5
29000;;;ASH_COATED_OSMIUM;XIRECS;10008.0;7
29100;;;ASH_COATED_OSMIUM;XIRECS;10009.0;2
30000;;;INTARIAN_PEPPER_ROOT;XIRECS;13041.0;4
30600;;;ASH_COATED_OSMIUM;XIRECS;9992.0;2
30800;;;INTARIAN_PEPPER_ROOT;XIRECS;13044.0;6
34300;;;ASH_COATED_OSMIUM;XIRECS;9991.0;4
36900;;;ASH_COATED_OSMIUM;XIRECS;9991.0;8
