day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;ASH_COATED_OSMIUM;9993;14;9994;26;;;10009;15;10011;23;;;10000.5;0.0
1;0;INTARIAN_PEPPER_ROOT;12997;23;12993;15;;;13009;10;13013;25;;;13002.5;0.0
1;100;ASH_COATED_OSMIUM;9992;11;9991;24;;;10009;13;10011;30;;;10001.0;0.0
1;100;INTARIAN_PEPPER_ROOT;12996;9;12995;20;;;13009;24;;;;;13003.0;0.0
1;200;ASH_COATED_OSMIUM;9991;9;;;;;10009;13;10011;29;;;10000.5;0.0
1;200;INTARIAN_PEPPER_ROOT;12996;12;12996;24;;;13010;23;13013;24;;;13003.0;0.0
1;300;ASH_COATED_OSMIUM;9993;13;9990;28;;;10010;5;10012;20;;;10000.5;0.0
1;300;INTARIAN_PEPPER_ROOT;12996;9;12994;21;;;13010;8;13013;20;;;13003.0;0.0
1;400;ASH_COATED_OSMIUM;9992;10;;;;;10008;14;;;;;10000.0;0.0
1;400;INTARIAN_PEPPER_ROOT;12997;11;12994;17;;;13009;12;13013;24;;;13003.0;0.0
1;500;ASH_COATED_OSMIUM;9990;13;9989;28;;;10008;12;10011;20;;;10000.0;0.0
1;500;INTARIAN_PEPPER_ROOT;12997;9;12994;24;;;13011;23;13011;20;;;13003.0;0.0
1;600;ASH_COATED_OSMIUM;9992;11;9990;29;;;10009;10;;;;;10000.0;0.0
1;600;INTARIAN_PEPPER_ROOT;12998;8;12995;21;;;13010;9;13013;17;;;13003.5;0.0
1;700;ASH_COATED_OSMIUM;9992;27;;;;;10009;12;10011;27;;;10000.0;0.0
1;700;INTARIAN_PEPPER_ROOT;12995;8;12993;16;;;13011;19;13012;25;;;13003.5;0.0
1;800;ASH_COATED_OSMIUM;9991;11;;;;;10008;24;10010;26;;;10000.0;0.0
1;800;INTARIAN_PEPPER_ROOT;12998;9;12992;17;;;13010;10;13012;15;;;13003.5;0.0
1;900;ASH_COATED_OSMIUM;9992;11;9993;24;;;10008;14;10010;23;;;10000.0;0.0
1;900;INTARIAN_PEPPER_ROOT;12997;8;12994;24;;;13011;11;;;;;13003.5;0.0
1;1000;ASH_COATED_OSMIUM;9996;11;;;;;10008;14;;;;;10000.0;0.0
1;1000;INTARIAN_PEPPER_ROOT;12997;11;;;;;13010;25;13013;20;;;13003.5;0.0
1;1100;ASH_COATED_OSMIUM;9993;12;9990;27;;;10010;11;10011;30;;;10000.5;0.0
1;1100;INTARIAN_PEPPER_ROOT;12998;11;12994;16;;;13010;12;13020;22;;;13004.0;0.0
1;1200;ASH_COATED_OSMIUM;9992;14;9990;20;;;10009;12;10011;30;;;10000.5;0.0
1;1200;INTARIAN_PEPPER_ROOT;12997;20;;;;;13011;16;13015;21;;;13004.0;0.0
1;1300;ASH_COATED_OSMIUM;9993;12;;;;;10009;11;10011;30;;;10000.5;0.0
1;1300;INTARIAN_PEPPER_ROOT;12996;9;12995;18;;;13014;8;13014;16;;;13004.0;0.0
1;1400;ASH_COATED_OSMIUM;9993;13;9990;24;;;10009;11;10011;23;;;10000.5;0.0
1;1400;INTARIAN_PEPPER_ROOT;12996;11;12995;22;;;13005;8;13014;20;;;13004.0;0.0
1;1500;ASH_COATED_OSMIUM;9993;12;9990;20;;;10006;14;;;;;10000.5;0.0
1;1500;INTARIAN_PEPPER_ROOT;12999;9;;;;;13011;8;13013;20;;;13004.5;0.0
1;1600;ASH_COATED_OSMIUM;9993;15;;;;;10010;14;10012;25;;;10000.5;0.0
1;1600;INTARIAN_PEPPER_ROOT;12997;8;12996;25;;;13006;17;13014;8;;;13004.5;0.0
1;1700;ASH_COATED_OSMIUM;9992;10;9989;23;;;10009;11;10011;28;;;10000.0;0.0
1;1700;INTARIAN_PEPPER_ROOT;12999;9;12995;18;;;13012;9;;;;;13004.5;0.0
1;1800;ASH_COATED_OSMIUM;9992;10;9990;30;;;10010;24;;;;;10000.0;0.0
1;1800;INTARIAN_PEPPER_ROOT;12998;18;;;;;13010;9;13014;25;;;13004.5;0.0
1;1900;ASH_COATED_OSMIUM;9998;14;9991;28;;;10009;13;10011;28;;;10000.5;0.0
1;1900;INTARIAN_PEPPER_ROOT;12997;9;12995;25;;;13011;12;;;;;13004.5;0.0
1;2000;ASH_COATED_OSMIUM;9990;10;9989;28;;;10008;11;10010;20;;;10000.0;0.0
1;2000;INTARIAN_PEPPER_ROOT;12997;12;12997;23;;;13012;12;;;;;13005.0;0.0
1;2100;ASH_COATED_OSMIUM;9993;14;;;;;10010;12;;;;;10000.5;0.0
1;2100;INTARIAN_PEPPER_ROOT;12999;12;12995;15;;;13012;8;13013;22;;;13005.0;0.0
1;2200;ASH_COATED_OSMIUM;9993;14;;;;;10009;13;;;;;10000.5;0.0
1;2200;INTARIAN_PEPPER_ROOT;13000;9;12995;15;;;13011;8;13015;25;;;13005.0;0.0
1;2300;ASH_COATED_OSMIUM;9993;29;9989;29;;;10009;12;;;;;10000.5;0.0
1;2300;INTARIAN_PEPPER_ROOT;12999;10;12995;16;;;13013;9;13016;21;;;13005.0;0.0
1;2400;ASH_COATED_OSMIUM;9993;13;9991;21;;;10009;10;10012;28;;;10001.0;0.0
1;2400;INTARIAN_PEPPER_ROOT;12999;8;;;;;13012;17;;;;;13005.5;0.0
1;2500;ASH_COATED_OSMIUM;9992;20;9991;25;;;10010;15;;;;;10001.0;0.0
1;2500;INTARIAN_PEPPER_ROOT;13000;10;12995;21;;;13012;11;13016;21;;;13005.5;0.0
